localIBGE_id;municipality;state;population;pop_share_above60;gdp_capita;city_exp_health_capita;public_doctors_capita;disease_deaths_capita;death_rate_hospitalization;infant_mortality;sewage_rating;water_service_rating;garbage_service_rating
1100015;Alta Floresta D'Oeste;RO;23167;0,092778668;19,61175;665,3622562;2,158242327;4,791297967;0,022015652;7,352941176;;4,681414249;1,85
1100023;Ariquemes;RO;106168;0,071803517;21,38967;582,7972943;1,695426117;4,125536885;0,034575145;15,45778835;4;7,642549074;6,777636532
1100031;Cabixi;RO;5438;0,112317131;22,3158;1051,795601;5,516734093;5,516734093;0,045544713;12,19512195;;5,3;3,05
1100049;Cacoal;RO;84813;0,08922696;24,03791;480,0175392;2,35812906;5,046396189;0,044616181;13,13969571;5,333978235;6,010461526;1,85
1100056;Cerejeiras;RO;16444;0,103808729;25,00971;777,9664406;2,432498176;5,837995622;0,026051115;15,15151515;;6,862725985;4,97296397
1100064;Colorado do Oeste;RO;16227;0,119832076;18,41374;707,8972805;0;5,546311703;0,044185742;8,510638298;;7,055736798;4,745832261
1100072;Corumbiara;RO;7567;0,088584682;38,15605;835,3243901;3,964583058;3,171666446;0,023596166;7,751937984;;5,575728155;3,05
1100080;Costa Marques;RO;17855;0,058798799;12,41335;387,8704027;2,80033604;3,248389807;0,034931022;8,130081301;;5,8;1,85
1100098;Espigao D'Oeste;RO;32047;0,082854672;17,49871;512,9522267;2,184291821;4,025337785;0,025271204;12,60504202;4;4,270345053;6,522985657
1100106;Guajara-Mirim;RO;45783;0,076989063;16,9558;542,8704163;1,965795164;4,586855383;0,048741585;23,75809935;4;5,3;1,85
1100114;Jaru;RO;51933;0,088663234;25,30165;506,2250434;2,695781103;4,563572295;0,032617723;12,07464325;;5,8;4,831502444
1100122;Ji-Parana;RO;127907;0,082595961;22,81471;525,3900411;1,954545099;5,050544536;0,041856454;17,12028095;;5,203898258;5,494635966
1100130;Machadinho D'Oeste;RO;39097;0,070334993;15,7246;551,2985656;1,278870502;2,020615392;0,029963713;3,868471954;;5,8;3,492860818
1100148;Nova Brasilandia D'Oeste;RO;20459;0,092849866;16,59842;482,4477936;2,443912215;3,763624811;0,033846902;6,896551724;;5,3;3,05
1100155;Ouro Preto do Oeste;RO;36340;0,096636024;19,56069;543,9219612;3,302146395;4,843148046;0,030867523;13,02931596;;7,193584797;5,715353953
1100189;Pimenta Bueno;RO;36434;0,07711582;28,28863;689,9660605;2,195751221;4,858099577;0,027503518;12,28878648;4;7,562411338;6,035224601
1100205;Porto Velho;RO;519531;0,059544861;31,7932;537,7361127;1,270376551;3,57437766;0,046360895;12,22577697;4;4,3;7,692968827
1100254;Presidente Medici;RO;19409;0,118499801;18,76018;732,7118234;3,091349374;4,843114019;0,038918994;10,20408163;;6,405753779;3,05
1100262;Rio Crespo;RO;3723;0,098264352;27,76717;1128,160502;5,372011818;3,491807682;0,027873138;0;;4,499722607;1,85
1100288;Rolim de Moura;RO;54702;0,085595918;22,73408;579,6145357;2,193704069;4,149756864;0,032332028;13,33333333;;7,089465555;4,635561752
1100296;Santa Luzia D'Oeste;RO;6781;0,104701606;19,3477;930,7594691;5,89883498;6,193776729;0,017159931;9,708737864;;6,138049006;3,2
1100304;Vilhena;RO;97448;0,068973781;26,72364;751,0964183;0;4,289467203;0,042115333;10,27617213;;8,005674242;9,132853026
1100320;Sao Miguel do Guapore;RO;22931;0,074956129;26,87664;626,9905486;0,436090881;3,052636169;0,018414876;10,23017903;;4,903269944;1,85
1100338;Nova Mamore;RO;29757;0,062586069;16,3728;420,5454596;2,016332292;2,385993212;0,029058224;18,67219917;;5,8;4,130230614
1100346;Alvorada D'Oeste;RO;14722;0,101687962;15,68589;652,5409279;2,037766608;4,483086537;0,027677573;0;6,943375367;5,338820398;4,3
1100379;Alto Alegre dos Parecis;RO;13227;0,077695674;23,88326;620,2239306;3,024117336;2,797308536;0,018572563;0;;2,5;3,45072035
1100403;Alto Paraiso;RO;20999;0,074224355;15,28898;359,1178285;2,381065765;2,714414972;0,023317003;31,96347032;;5,8;1,85
1100452;Buritis;RO;38937;0,065676454;17,06365;318,1056597;1,540950767;2,77371138;0,034705518;12,96596434;;6,1;1,85
1100502;Novo Horizonte do Oeste;RO;8751;0,108460715;16,74493;630,7378368;3,428179637;4,342360873;0,027219152;0;;4,9;3,55
1100601;Cacaulandia;RO;6190;0,094550024;21,79388;739,5477754;3,231017771;2,423263328;0,012950074;0;;5,790753037;3,792011834
1100700;Campo Novo de Rondonia;RO;14009;0,065273968;19,09223;616,3103269;2,855307302;1,641801699;0,019700322;0;;4,222701904;3,386743516
1100809;Candeias do Jamari;RO;25983;0,068982651;21,29957;404,0214802;3,078936228;3,694723473;0,037342902;11,87648456;;6,128432732;1,85
1100908;Castanheiras;RO;3119;0,130422769;31,40368;1236,675973;6,412311638;4,809233729;0,018543597;0;;4,3;3,05
1100924;Chupinguaia;RO;10886;0,052927817;26,50459;791,9096757;7,348888481;1,929083226;0,022340072;5,524861878;;2,5;1,85
1100940;Cujubim;RO;24226;0,048824679;14,4376;332,6510138;1,238338975;1,692396599;0,016003526;13,10043668;;5,021726267;4,375366607
1101005;Governador Jorge Teixeira;RO;8095;0,100750691;18,74083;756,8559197;4,941321804;5,929586164;0,04404047;22,55639098;;2,5;3,05
